CODI_I;CODI_S;LONGITUD;LAT;LNG;
"12";"10";"139";"41.7980264988";"2.4220166126";
"12";"12";"64";"41.7983691588";"2.42291838687";
"12";"13";"191";"41.798544877";"2.42364272709";
"13";"1";"220";"41.6890097346";"2.52955492929";
"13";"2";"456";"41.6873347719";"2.53088900611";
"13";"3";"190";"41.6866640096";"2.53374432117";
"13";"4";"198";"41.6855009394";"2.53482260876";
"13";"5";"286";"41.684511195";"2.53473114975";
"13";"6";"102";"41.6823767975";"2.53497349704";
"13";"7";"166";"41.6813879458";"2.53384804269";
"13";"8";"339";"41.6820944334";"2.53440142736";
"13";"9";"341";"41.6848501374";"2.53548595726";
"14";"1";"239";"40.7562530499";"0.803464701362";
"14";"2";"135";"40.7547544644";"0.8045449159";
"14";"3";"183";"40.7548723466";"0.804319893698";
"14";"5";"450";"40.7808705996";"0.715827268992";
"14";"6";"424";"40.7807290908";"0.715561588456";
"15";"1";"364";"42.3401221803";"1.85481733302";
"15";"2";"146";"42.3393171316";"1.85735561771";
"15";"3";"288";"42.3378634683";"1.85890894479";
"15";"4";"234";"42.3357379232";"1.86022144591";
"15";"5";"70";"42.3344297264";"1.86035911914";
"15";"6";"141";"42.3335637429";"1.86090176168";
"16";"1";"151";"42.0563734713";"1.91038898405";
"16";"2";"207";"42.0565565034";"1.91042048755";
"16";"3";"190";"42.0575551689";"1.91323494406";
"16";"4";"236";"42.0576210275";"1.91564121053";
"16";"5";"392";"42.0586235387";"1.91880688443";
"16";"6";"243";"42.0596914433";"1.919945509";
"16";"7";"228";"42.0586018996";"1.91509439933";
"16";"8";"187";"42.0585739095";"1.91446145221";
"16";"9";"324";"42.0613629925";"1.91253452594";
"16";"10";"248";"42.0623179452";"1.91098959979";
"16";"11";"486";"42.0620519158";"1.909737737";
"16";"12";"338";"42.0592302838";"1.92243496619";
"17";"1";"168";"42.0507452867";"2.62466275438";
"17";"2";"122";"42.0501968482";"2.62489390647";
"17";"3";"118";"42.0496032181";"2.62498336898";
"17";"4";"146";"42.0498829369";"2.62770110388";
"17";"5";"151";"42.0469990987";"2.63086913496";
"17";"6";"69";"42.0462893394";"2.63026480425";
"17";"7";"111";"42.0458483271";"2.63066340031";
"17";"8";"80";"42.0457456738";"2.63150640899";
"17";"9";"89";"42.0456045876";"2.63193247294";
"17";"10";"181";"42.0447320113";"2.63259631783";
"18";"1";"323";"41.5483961922";"0.646987239892";
"18";"2";"237";"41.5478977255";"0.645229552951";
"18";"3";"61";"41.547015096";"0.646365150353";
"18";"4";"258";"41.5470905002";"0.648016107387";
"18";"5";"315";"41.5475923248";"0.648891558771";
"18";"6";"205";"41.554148479";"0.652333105141";
"18";"7";"202";"41.5431327725";"0.650170270491";
"19";"1";"125";"41.7548601475";"2.49782858993";
"19";"2";"148";"41.7547074766";"2.49845124464";
"19";"3";"157";"41.7558786014";"2.49750601789";
"19";"4";"130";"41.7561796161";"2.49763819198";
"19";"5";"227";"41.7569437445";"2.4979602716";
"19";"6";"298";"41.7593494365";"2.49907479316";
"19";"7";"148";"41.7573804504";"2.49725711665";
"19";"8";"184";"41.7568501303";"2.49563347357";
"19";"9";"302";"41.7559526252";"2.49571218831";
"20";"1";"231";"41.7773759039";"2.43453166387";
"20";"2";"66";"41.7782402307";"2.4332153391";
"20";"3";"182";"41.7793412405";"2.43252225797";
"20";"4";"201";"41.7808315405";"2.43251948773";
"20";"5";"337";"41.7835695";"2.43628792702";
"20";"6";"450";"41.7807477417";"2.43381914286";
"20";"7";"36";"41.7766123053";"2.43492487717";
"21";"1";"167";"41.438112522";"2.08707567121";
"21";"2";"159";"41.4380992955";"2.08598764674";
"21";"3";"151";"41.4372461396";"2.08456978126";
"21";"4";"266";"41.4377506537";"2.08679546277";
"21";"5";"97";"41.4378662379";"2.08501252521";
"22";"1";"103";"42.2875414983";"3.08789467573";
"22";"2";"49";"42.2880979889";"3.08834783454";
"22";"3";"62";"42.2884473959";"3.08879720804";
"22";"4";"111";"42.2891879088";"3.08898112854";
"22";"5";"103";"42.2892658863";"3.08924170406";
"22";"6";"143";"42.2897884865";"3.08802860684";
"22";"7";"156";"42.2887983658";"3.08721273951";
"23";"1";"286";"42.2752678951";"3.11382127241";
"23";"2";"183";"42.2737936811";"3.11412822474";
"23";"3";"131";"42.2731628233";"3.11593331665";
"23";"4";"172";"42.2733540226";"3.11749870811";
"23";"5";"153";"42.2747478719";"3.11834869269";
"23";"6";"175";"42.2732213196";"3.11772919272";
"24";"1";"78";"41.6697804452";"1.99345462652";
"24";"2";"125";"41.6696827362";"1.99384585829";
"24";"3";"86";"41.6691489649";"1.99347981245";
"24";"4";"139";"41.6672057447";"1.98902807508";
"24";"5";"254";"41.6632869658";"1.98615581227";
"24";"6";"153";"41.6625937973";"1.98410920611";
"24";"7";"114";"41.6621816047";"1.98310749864";
"24";"8";"184";"41.6629832259";"1.98565971026";
"24";"9";"135";"41.6638384087";"1.98684172158";
"24";"10";"83";"41.6657377392";"1.98796610847";
"25";"1";"175";"40.8093976611";"0.326369790048";
"25";"2";"184";"40.8082380181";"0.322534837155";
